"rets" "tips" "level" "tree_child" "tree_based" "fu_stable" "normal" "gen_no" "degen_no" "neu_no" "recon" "row_row"
"242" 2 24 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"243" 0 21 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"244" 42 133 42 TRUE TRUE TRUE TRUE 42 0 0 FALSE 61
"245" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"246" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"247" 0 18 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"248" 5 41 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"249" 4 36 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"250" 3 48 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"251" 1 14 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"252" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"253" 193 352 193 TRUE TRUE TRUE TRUE 193 0 0 FALSE 61
"254" 386 584 386 TRUE TRUE TRUE TRUE 386 0 0 FALSE 61
"255" 1 16 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"256" 8 54 8 TRUE TRUE TRUE TRUE 8 0 0 FALSE 61
"257" 27 112 27 TRUE TRUE TRUE TRUE 27 0 0 FALSE 61
"258" 22 86 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"259" 8 32 7 TRUE TRUE TRUE TRUE 8 0 0 FALSE 61
"260" 1 10 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"261" 1 7 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"262" 62 166 62 TRUE TRUE TRUE TRUE 62 0 0 FALSE 61
"263" 0 8 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"264" 0 12 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"265" 0 13 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"266" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"267" 85 194 85 TRUE TRUE TRUE TRUE 85 0 0 FALSE 61
"268" 2 37 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"269" 0 24 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"270" 0 13 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"271" 4 48 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"272" 2 18 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"273" 34 103 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"274" 0 15 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"275" 0 9 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"276" 7 36 7 TRUE TRUE TRUE TRUE 7 0 0 FALSE 61
"277" 0 16 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"278" 0 22 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"279" 6 46 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"280" 2 28 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"281" 0 17 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"282" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"283" 1 30 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"284" 25 99 25 TRUE TRUE TRUE TRUE 25 0 0 FALSE 61
"285" 13 51 12 TRUE TRUE TRUE TRUE 13 0 0 FALSE 61
"286" 0 22 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"287" 0 26 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"288" 285 456 285 TRUE TRUE TRUE TRUE 285 0 0 FALSE 61
"289" 11 57 11 TRUE TRUE TRUE TRUE 11 0 0 FALSE 61
"290" 64 171 64 TRUE TRUE TRUE TRUE 64 0 0 FALSE 61
"291" 0 14 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"292" 6 59 5 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"293" 0 17 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"294" 0 19 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"295" 16 72 16 TRUE TRUE TRUE TRUE 16 0 0 FALSE 61
"296" 6 44 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"297" 48 134 48 TRUE TRUE TRUE TRUE 48 0 0 FALSE 61
"298" 15 61 15 TRUE TRUE TRUE TRUE 15 0 0 FALSE 61
"299" 1 39 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"300" 8 51 8 TRUE TRUE TRUE TRUE 8 0 0 FALSE 61
"301" 1 18 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"302" 64 188 64 TRUE TRUE TRUE TRUE 64 0 0 FALSE 61
"303" 1 20 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"304" 1 20 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"305" 0 21 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"306" 22 95 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"307" 3 41 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"308" 3 25 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"309" 2 31 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"310" 67 177 67 TRUE TRUE TRUE TRUE 67 0 0 FALSE 61
"311" 0 5 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"312" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"313" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"314" 29 102 29 TRUE TRUE TRUE TRUE 29 0 0 FALSE 61
"315" 9 62 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"316" 1 39 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"317" 134 263 134 TRUE TRUE TRUE TRUE 134 0 0 FALSE 61
"318" 38 143 38 TRUE TRUE TRUE TRUE 38 0 0 FALSE 61
"319" 54 143 54 TRUE TRUE TRUE TRUE 54 0 0 FALSE 61
"320" 3 25 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"321" 4 44 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"322" 0 6 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"323" 31 107 31 TRUE TRUE TRUE TRUE 31 0 0 FALSE 61
"324" 3 22 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"325" 22 98 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"326" 19 95 18 TRUE TRUE TRUE TRUE 19 0 0 FALSE 61
"327" 0 14 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"328" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"329" 9 56 9 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"330" 0 12 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"331" 14 57 14 TRUE TRUE TRUE TRUE 14 0 0 FALSE 61
"332" 1 21 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"333" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"334" 0 8 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"335" 17 70 17 TRUE TRUE TRUE TRUE 17 0 0 FALSE 61
"336" 5 36 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"337" 17 77 17 TRUE TRUE TRUE TRUE 17 0 0 FALSE 61
"338" 1 23 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"339" 19 84 19 TRUE TRUE TRUE TRUE 19 0 0 FALSE 61
"340" 0 22 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"341" 1 7 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"342" 2 20 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"343" 8 50 8 TRUE TRUE TRUE TRUE 8 0 0 FALSE 61
"344" 1 29 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"345" 5 32 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"346" 1 29 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
